time,code,class
0.602,voice_start,1
1.242,voice_start,1
2.053,voice_start,1
3.08,voice_start,1
4.122,voice_start,1
5.253,voice_start,1
6.448,voice_start,1
9.093,voice_start,1
9.968,voice_start,1
11.013,voice_start,1
11.888,voice_start,1
12.68,voice_start,1
13.573,voice_start,1
14.28,voice_start,1
14.92,voice_start,1
15.813,voice_start,1
16.602,voice_start,1
17.328,voice_start,1
18.054,voice_start,1
18.928,voice_start,1
19.653,voice_start,1
20.613,voice_start,1
21.403,voice_start,1
22.213,voice_start,1
23.003,voice_start,1
23.813,voice_start,1
24.773,voice_start,1
25.733,voice_start,1
26.608,voice_start,1
27.4,voice_start,1
28.528,voice_start,1
29.64,voice_start,1
30.448,voice_start,1
31.174,voice_start,1
32.368,voice_start,1
33.16,voice_start,1
34.608,voice_start,1
35.482,voice_start,1
37,voice_start,1
37.808,voice_start,1
38.448,voice_start,1
39.322,voice_start,1
40.2,voice_start,1
41.093,voice_start,1
41.882,voice_start,1
42.76,voice_start,1
43.568,voice_start,1
44.443,voice_start,1
45.275,voice_start,1
45.98,voice_start,1
46.94,voice_start,1
47.984,voice_start,1
48.795,voice_start,1
49.5,voice_start,1
50.309,voice_start,1
51.1,voice_start,1
51.824,voice_start,1
52.549,voice_start,1
53.275,voice_start,1
54.064,voice_start,1
54.94,voice_start,1
56.944,voice_start,1
57.904,voice_start,1
58.714,voice_start,1
59.824,voice_start,1
60.549,voice_start,1
61.509,voice_start,1
62.704,voice_start,1
0.368,tail_up,2
0.602,tail_up,2
0.84,tail_up,2
1.16,tail_up,2
1.563,tail_up,2
1.8,tail_up,2
2.12,tail_up,2
2.373,tail_up,2
2.523,tail_up,2
2.842,tail_up,2
3.08,tail_up,2
3.4,tail_up,2
3.653,tail_up,2
3.888,tail_up,2
4.122,tail_up,2
4.442,tail_up,2
4.68,tail_up,2
4.933,tail_up,2
5.253,tail_up,2
5.488,tail_up,2
5.808,tail_up,2
6.043,tail_up,2
6.362,tail_up,2
6.6,tail_up,2
6.853,tail_up,2
7.088,tail_up,2
7.322,tail_up,2
7.56,tail_up,2
7.813,tail_up,2
8.133,tail_up,2
8.368,tail_up,2
8.602,tail_up,2
8.923,tail_up,2
9.16,tail_up,2
9.413,tail_up,2
9.733,tail_up,2
9.968,tail_up,2
10.288,tail_up,2
10.523,tail_up,2
